WARNING - psiflow.learning - adding atomic energies from model into SequentialLearning
INFO - psiflow.learning - performing random pretraining
INFO - psiflow.models.base - training model using 81 states for training and 9 for validation
INFO - psiflow.sampling - 
INFO - psiflow.sampling - 
INFO - psiflow.learning - reinitializing scale/shift/avg_num_neighbors on data_train
INFO - psiflow.models.base - training model using 162 states for training and 18 for validation
INFO - psiflow.metrics - 
+--------------+---------+--------------+----------+--------+--------------+-------------+------------+--------+-------------------------------------+
| walker_index | counter | is_discarded | is_reset | f_rmse | disagreement | temperature | identifier | e_rmse |                              stdout |
+--------------+---------+--------------+----------+--------+--------------+-------------+------------+--------+-------------------------------------+
|            0 |    1000 |        False |    False |  26.55 |         None |      247.32 |         90 |   1.39 | task_2796_molecular_dynamics_openmm |
|            1 |    1000 |        False |    False |  27.06 |         None |      252.44 |         91 |   1.30 | task_2808_molecular_dynamics_openmm |
|            2 |    1000 |        False |    False |  27.59 |         None |      254.12 |         92 |   1.34 | task_2820_molecular_dynamics_openmm |
|            3 |    1000 |        False |    False |  26.15 |         None |      242.05 |         93 |   1.38 | task_2832_molecular_dynamics_openmm |
|            4 |    1000 |        False |    False |  27.08 |         None |      257.58 |         94 |   1.22 | task_2844_molecular_dynamics_openmm |
|            5 |    1000 |        False |    False |  23.28 |         None |      232.70 |         95 |   1.75 | task_2856_molecular_dynamics_openmm |
|            6 |    1000 |        False |    False |  25.91 |         None |      254.86 |         96 |   1.69 | task_2868_molecular_dynamics_openmm |
|            7 |    1000 |        False |    False |  24.45 |         None |      252.10 |         97 |   1.29 | task_2880_molecular_dynamics_openmm |
|            8 |    1000 |        False |    False |  28.29 |         None |      249.38 |         98 |   1.38 | task_2892_molecular_dynamics_openmm |
|            9 |    1000 |        False |    False |  28.82 |         None |      239.93 |         99 |   0.67 | task_2904_molecular_dynamics_openmm |
|           10 |    1000 |        False |    False |  44.87 |         None |      246.60 |        100 |   1.63 | task_2916_molecular_dynamics_openmm |
|           11 |    1000 |        False |    False |  36.03 |         None |      250.20 |        101 |   0.34 | task_2928_molecular_dynamics_openmm |
|           12 |    1000 |        False |    False |  36.48 |         None |      260.72 |        102 |   0.55 | task_2940_molecular_dynamics_openmm |
|           13 |    1000 |        False |    False |  40.03 |         None |      245.32 |        103 |   0.52 | task_2952_molecular_dynamics_openmm |
|           14 |    1000 |        False |    False |  37.29 |         None |      253.25 |        104 |   0.06 | task_2964_molecular_dynamics_openmm |
|           15 |    1000 |        False |    False |  36.36 |         None |      247.00 |        105 |   0.07 | task_2976_molecular_dynamics_openmm |
|           16 |    1000 |        False |    False |  35.41 |         None |      251.85 |        106 |   0.32 | task_2988_molecular_dynamics_openmm |
|           17 |    1000 |        False |    False |  36.92 |         None |      254.09 |        107 |   0.63 | task_3000_molecular_dynamics_openmm |
|           18 |    1000 |        False |    False |  39.73 |         None |      255.73 |        108 |   1.01 | task_3012_molecular_dynamics_openmm |
|           19 |    1000 |        False |    False |  37.94 |         None |      244.38 |        109 |   0.96 | task_3024_molecular_dynamics_openmm |
|           20 |    1000 |        False |    False |  39.52 |         None |      240.16 |        110 |   1.37 | task_3036_molecular_dynamics_openmm |
|           21 |    1000 |        False |    False |  40.62 |         None |      250.06 |        111 |   0.62 | task_3048_molecular_dynamics_openmm |
|           22 |    1000 |        False |    False |  37.57 |         None |      240.68 |        112 |   0.48 | task_3060_molecular_dynamics_openmm |
|           23 |    1000 |        False |    False |  39.28 |         None |      243.21 |        113 |   0.92 | task_3072_molecular_dynamics_openmm |
|           24 |    1000 |        False |    False |  38.46 |         None |      238.80 |        114 |   0.72 | task_3084_molecular_dynamics_openmm |
|           25 |    1000 |        False |    False |  36.00 |         None |      246.05 |        115 |   0.63 | task_3096_molecular_dynamics_openmm |
|           26 |    1000 |        False |    False |  37.33 |         None |      251.83 |        116 |   1.21 | task_3108_molecular_dynamics_openmm |
|           27 |    1000 |        False |    False |  40.64 |         None |      250.62 |        117 |   0.67 | task_3120_molecular_dynamics_openmm |
|           28 |    1000 |        False |    False |  39.19 |         None |      245.67 |        118 |   0.79 | task_3132_molecular_dynamics_openmm |
|           29 |    1000 |        False |    False |  37.38 |         None |      254.55 |        119 |   0.81 | task_3144_molecular_dynamics_openmm |
|           30 |    1000 |        False |    False |  38.14 |         None |      247.25 |        120 |   0.71 | task_3156_molecular_dynamics_openmm |
|           31 |    1000 |        False |    False |  40.64 |         None |      252.88 |        121 |   0.91 | task_3168_molecular_dynamics_openmm |
|           32 |    1000 |        False |    False |  40.82 |         None |      246.21 |        122 |   1.04 | task_3180_molecular_dynamics_openmm |
|           33 |    1000 |        False |    False |  41.65 |         None |      255.30 |        123 |   1.33 | task_3192_molecular_dynamics_openmm |
|           34 |    1000 |        False |    False |  35.85 |         None |      247.21 |        124 |   0.64 | task_3204_molecular_dynamics_openmm |
|           35 |    1000 |        False |    False |  36.89 |         None |      245.60 |        125 |   0.48 | task_3216_molecular_dynamics_openmm |
|           36 |    1000 |        False |    False |  38.58 |         None |      246.18 |        126 |   0.84 | task_3228_molecular_dynamics_openmm |
|           37 |    1000 |        False |    False |  40.33 |         None |      233.46 |        127 |   0.74 | task_3240_molecular_dynamics_openmm |
|           38 |    1000 |        False |    False |  41.05 |         None |      252.00 |        128 |   1.11 | task_3252_molecular_dynamics_openmm |
|           39 |    1000 |        False |    False |  37.04 |         None |      236.53 |        129 |   0.62 | task_3264_molecular_dynamics_openmm |
|           40 |    1000 |        False |    False |  35.74 |         None |      227.98 |        130 |   0.42 | task_3276_molecular_dynamics_openmm |
|           41 |    1000 |        False |    False |  37.39 |         None |      238.80 |        131 |   0.43 | task_3288_molecular_dynamics_openmm |
|           42 |    1000 |        False |    False |  39.52 |         None |      246.58 |        132 |   0.68 | task_3300_molecular_dynamics_openmm |
|           43 |    1000 |        False |    False |  37.91 |         None |      243.67 |        133 |   0.01 | task_3312_molecular_dynamics_openmm |
|           44 |    1000 |        False |    False |  37.56 |         None |      244.90 |        134 |   0.18 | task_3324_molecular_dynamics_openmm |
|           45 |    1000 |        False |    False |  37.58 |         None |      235.94 |        135 |   0.21 | task_3336_molecular_dynamics_openmm |
|           46 |    1000 |        False |    False |  38.18 |         None |      238.21 |        136 |   0.95 | task_3348_molecular_dynamics_openmm |
|           47 |    1000 |        False |    False |  37.34 |         None |      250.12 |        137 |   0.54 | task_3360_molecular_dynamics_openmm |
|           48 |    1000 |        False |    False |  36.69 |         None |      236.66 |        138 |   0.72 | task_3372_molecular_dynamics_openmm |
|           49 |    1000 |        False |    False |  43.48 |         None |      238.55 |        139 |   0.61 | task_3384_molecular_dynamics_openmm |
|           50 |    1000 |        False |    False |  37.24 |         None |      239.05 |        140 |   0.00 | task_3396_molecular_dynamics_openmm |
|           51 |    1000 |        False |    False |  36.29 |         None |      227.73 |        141 |   0.11 | task_3408_molecular_dynamics_openmm |
|           52 |    1000 |        False |    False |  33.98 |         None |      229.86 |        142 |   0.20 | task_3420_molecular_dynamics_openmm |
|           53 |    1000 |        False |    False |  38.23 |         None |      234.79 |        143 |   0.23 | task_3432_molecular_dynamics_openmm |
|           54 |    1000 |        False |    False |  35.83 |         None |      233.44 |        144 |   0.48 | task_3444_molecular_dynamics_openmm |
|           55 |    1000 |        False |    False |  35.81 |         None |      247.00 |        145 |   0.02 | task_3456_molecular_dynamics_openmm |
|           56 |    1000 |        False |    False |  38.19 |         None |      234.06 |        146 |   0.05 | task_3468_molecular_dynamics_openmm |
|           57 |    1000 |        False |    False |  32.62 |         None |      222.41 |        147 |   0.01 | task_3480_molecular_dynamics_openmm |
|           58 |    1000 |        False |    False |  37.71 |         None |      230.84 |        148 |   0.64 | task_3492_molecular_dynamics_openmm |
|           59 |    1000 |        False |    False |  35.34 |         None |      234.90 |        149 |   0.12 | task_3504_molecular_dynamics_openmm |
|           60 |    1000 |        False |    False |  33.66 |         None |      236.52 |        150 |   0.48 | task_3516_molecular_dynamics_openmm |
|           61 |    1000 |        False |    False |  34.28 |         None |      219.82 |        151 |   0.75 | task_3528_molecular_dynamics_openmm |
|           62 |    1000 |        False |    False |  34.32 |         None |      220.10 |        152 |   0.46 | task_3540_molecular_dynamics_openmm |
|           63 |    1000 |        False |    False |  34.58 |         None |      223.20 |        153 |   0.98 | task_3552_molecular_dynamics_openmm |
