+------------+--------+--------+----------+----------+----------+----------+-----------+-----------+---------------------------------+
| identifier | e_rmse | f_rmse | f_rmse_H | f_rmse_C | f_rmse_N | f_rmse_I | f_rmse_Cs | f_rmse_Pb |                          stdout |
+------------+--------+--------+----------+----------+----------+----------+-----------+-----------+---------------------------------+
|          0 |   0.47 |  24.32 |      nan |      nan |      nan |    21.89 |     15.30 |     35.84 |  task_2210_cp2k_singlepoint_pre |
|          1 |   1.00 |  25.81 |      nan |      nan |      nan |    24.39 |     17.70 |     35.10 |  task_2212_cp2k_singlepoint_pre |
|          2 |   0.47 |  23.68 |      nan |      nan |      nan |    21.92 |     15.77 |     33.37 |  task_2214_cp2k_singlepoint_pre |
|          3 |   1.13 |  21.66 |      nan |      nan |      nan |    20.20 |     13.43 |     30.69 |  task_2217_cp2k_singlepoint_pre |
|          4 |   0.59 |  23.32 |      nan |      nan |      nan |    22.55 |     13.61 |     31.77 |  task_2221_cp2k_singlepoint_pre |
|          5 |   0.77 |  24.30 |      nan |      nan |      nan |    22.70 |     16.80 |     33.52 |  task_2223_cp2k_singlepoint_pre |
|          6 |   0.47 |  25.43 |      nan |      nan |      nan |    23.15 |     16.39 |     36.86 |  task_2226_cp2k_singlepoint_pre |
|          7 |   0.87 |  24.81 |      nan |      nan |      nan |    23.47 |     15.99 |     34.20 |  task_2229_cp2k_singlepoint_pre |
|          8 |   0.09 |  22.48 |      nan |      nan |      nan |    19.84 |     14.91 |     33.52 |  task_2232_cp2k_singlepoint_pre |
|          9 |   0.96 |  38.35 |      nan |      nan |      nan |    35.07 |     29.73 |     52.74 |  task_2235_cp2k_singlepoint_pre |
|         10 |   0.12 |  28.54 |    20.37 |    37.02 |    42.82 |    27.47 |     17.57 |     40.50 |  task_2238_cp2k_singlepoint_pre |
|         11 |   0.25 |  29.18 |    22.12 |    37.33 |    59.00 |    25.96 |     15.01 |     40.62 |  task_2241_cp2k_singlepoint_pre |
|         12 |   0.17 |  34.17 |    26.56 |    46.34 |    57.87 |    31.68 |     18.44 |     46.57 |  task_2244_cp2k_singlepoint_pre |
|         13 |   1.17 |  29.73 |    22.80 |    35.94 |    48.58 |    28.74 |     15.59 |     41.13 |  task_2247_cp2k_singlepoint_pre |
|         14 |   0.36 |  28.64 |    22.62 |    42.00 |    56.39 |    25.30 |     13.78 |     37.27 |  task_2250_cp2k_singlepoint_pre |
|         15 |   0.04 |  25.44 |    19.44 |    35.90 |    31.71 |    24.42 |     16.71 |     34.69 |  task_2253_cp2k_singlepoint_pre |
|         16 |   0.03 |  37.09 |    29.59 |    63.24 |    65.75 |    32.75 |     18.75 |     44.79 |  task_2256_cp2k_singlepoint_pre |
|         17 |   0.19 |  30.66 |    23.83 |    41.87 |    51.67 |    27.51 |     16.91 |     43.42 |  task_2259_cp2k_singlepoint_pre |
